	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_01.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_02.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_05.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_07.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_09.c3d	234_C_T1_sh_L_ND_10.c3d	234_C_T1_sh_L_ND_10.c3d	234_C_T1_sh_L_ND_10.c3d	234_C_T1_sh_L_ND_10.c3d	234_C_T1_sh_L_ND_10.c3d	234_C_T1_sh_L_ND_10.c3d	234_C_T1_sh_L_ND_10.c3d	234_C_T1_sh_L_ND_10.c3d
17	0.147439	0.193555	0.295090	0.315119	0.154423	0.267546	0.535485	0.530341	0.091476	0.186526	0.694219	0.468580	0.252356	0.330234	0.365115	0.173437	0.096943	0.255104	0.547236	0.437891	0.163467	0.553446	0.387102	0.229247	0.211245	0.327025	0.195238	0.109540	0.116762	0.124876	0.436943	0.125021	0.050037	0.126484	0.408867	0.436899	0.074736	0.337103	0.191540	0.089426	0.084009	0.127228	0.226163	0.299972	0.116780	0.103836	0.273638	0.159716
18	0.149171	0.203995	0.305713	0.308211	0.155086	0.218380	0.588778	0.583388	0.120931	0.214546	0.615414	0.437894	0.255703	0.328583	0.356642	0.219186	0.114963	0.250765	0.531383	0.435125	0.152535	0.487854	0.328695	0.223112	0.212995	0.332014	0.236573	0.138419	0.111021	0.140531	0.322098	0.091429	0.052064	0.135817	0.512124	0.462925	0.076440	0.333023	0.192855	0.093492	0.079833	0.135265	0.208444	0.283493	0.114760	0.109873	0.268121	0.165565
19	0.159260	0.240737	0.318555	0.310292	0.148797	0.213760	0.638482	0.590655	0.122634	0.207331	0.580329	0.418491	0.311505	0.318153	0.363675	0.229016	0.114252	0.244956	0.498491	0.442168	0.148011	0.470702	0.323151	0.221279	0.237286	0.391655	0.255115	0.173343	0.111224	0.154457	0.191227	0.113712	0.054845	0.138247	0.547646	0.455286	0.073371	0.330509	0.179267	0.108097	0.074660	0.140220	0.263462	0.230446	0.113459	0.103967	0.245613	0.177721
20	0.162844	0.242448	0.394479	0.239563	0.137605	0.195362	0.649205	0.587771	0.121049	0.203087	0.577079	0.402007	0.376207	0.329664	0.360614	0.229045	0.123206	0.247026	0.484438	0.444668	0.121577	0.394880	0.270138	0.218418	0.285132	0.458368	0.248811	0.176358	0.109447	0.156831	0.112526	0.128912	0.065833	0.133855	0.542629	0.427227	0.071766	0.317404	0.146452	0.115813	0.074936	0.139865	0.461390	0.265941	0.099112	0.094869	0.248858	0.237247
21	0.146038	0.234899	0.500610	0.243457	0.137890	0.174842	0.650655	0.579308	0.115259	0.207168	0.539239	0.402933	0.380860	0.301891	0.323587	0.258140	0.125674	0.236120	0.483201	0.454414	0.119802	0.393349	0.185884	0.220889	0.283878	0.452359	0.258713	0.183303	0.122139	0.172949	0.104898	0.138295	0.092011	0.149310	0.503752	0.353919	0.078686	0.311589	0.114902	0.123301	0.070836	0.119218	0.475900	0.279718	0.087576	0.085508	0.300018	0.260201
22	0.149153	0.230836	0.554909	0.262584	0.128054	0.171954	0.645768	0.576868	0.112925	0.206221	0.395991	0.313739	0.378978	0.282821	0.301352	0.315530	0.124201	0.233133	0.467877	0.480565	0.116154	0.359960	0.074683	0.218264	0.291326	0.453062	0.287451	0.220673	0.133171	0.214566	0.098052	0.143971	0.138548	0.158862	0.433000	0.337371	0.076314	0.250908	0.104169	0.170616	0.076588	0.119466	0.585601	0.348327	0.097343	0.108087	0.356878	0.270025
23	0.148228	0.232970	0.570727	0.331878	0.126405	0.171827	0.643465	0.564707	0.120767	0.186142	0.284418	0.265325	0.375826	0.280512	0.330905	0.335751	0.149444	0.270176	0.429418	0.417855	0.105593	0.311011	0.132265	0.268001	0.319858	0.443467	0.312394	0.255025	0.122159	0.202449	0.092361	0.165768	0.148923	0.158736	0.420158	0.282389	0.080124	0.202915	0.119181	0.249090	0.111722	0.138870	0.693927	0.368687	0.101818	0.117736	0.368026	0.318744
24	0.120422	0.196742	0.757206	0.370505	0.133743	0.194602	0.573495	0.468873	0.128397	0.185922	0.277898	0.264214	0.369235	0.280465	0.353258	0.340790	0.188328	0.392174	0.389547	0.400618	0.103961	0.304141	0.278567	0.374134	0.310726	0.426101	0.298765	0.307429	0.119383	0.227346	0.094426	0.190573	0.204139	0.200885	0.323429	0.188758	0.081105	0.179059	0.127839	0.272584	0.116717	0.137193	0.706973	0.371902	0.102406	0.118071	0.365273	0.324874
25	0.110048	0.166856	0.836978	0.370454	0.130457	0.202251	0.451854	0.464506	0.127257	0.180223	0.330017	0.253257	0.366467	0.281841	0.358553	0.337795	0.210369	0.505086	0.358697	0.387982	0.097755	0.290487	0.342872	0.400165	0.316207	0.455873	0.299818	0.312420	0.118616	0.231013	0.096156	0.197884	0.351809	0.273430	0.153379	0.154693	0.079279	0.171419	0.130724	0.282838	0.114253	0.126124	0.709533	0.372063	0.114773	0.119299	0.365678	0.328609
26	0.091487	0.124714	0.818903	0.364762	0.130191	0.199338	0.426431	0.509234	0.127172	0.183098	0.346176	0.244886	0.350552	0.272344	0.334547	0.333700	0.210426	0.522081	0.357817	0.361156	0.094821	0.280308	0.344504	0.391999	0.329346	0.454279	0.301538	0.316239	0.117144	0.244406	0.091699	0.198877	0.374905	0.283424	0.088245	0.274957	0.077100	0.166226	0.117694	0.318188	0.142374	0.148484	0.684982	0.618587	0.125503	0.121543	0.364893	0.331585
