	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_01.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_02.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_03.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_06.c3d	137_P_T1_sh_R_D_A_07.c3d	137_P_T1_sh_R_D_A_07.c3d	137_P_T1_sh_R_D_A_07.c3d	137_P_T1_sh_R_D_A_07.c3d	137_P_T1_sh_R_D_A_07.c3d	137_P_T1_sh_R_D_A_07.c3d	137_P_T1_sh_R_D_A_07.c3d	137_P_T1_sh_R_D_A_07.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
17	0.265174	0.053040	0.462208	0.385478	0.199693	0.189394	0.486347	0.288166	0.247099	0.171733	0.703910	0.710256	0.160290	0.184546	0.190545	0.331024	0.409986	0.102021	0.478605	0.426369	0.223497	0.178025	0.468675	0.210844	0.201914	0.030102	0.766416	0.618406	0.209278	0.161323	0.738246	0.320981	0.141300	0.040610	0.320769	0.399223	0.190187	0.149808	0.353333	0.400573
18	0.251636	0.053045	0.485708	0.419699	0.199615	0.185334	0.491701	0.290091	0.247656	0.171178	0.702489	0.691038	0.167408	0.189876	0.212933	0.284020	0.383196	0.089538	0.444856	0.431048	0.217019	0.186113	0.463328	0.214247	0.201222	0.031297	0.779132	0.603938	0.181866	0.135180	0.789209	0.324923	0.094156	0.039500	0.465660	0.460337	0.182720	0.147153	0.386662	0.465324
19	0.247773	0.051354	0.517693	0.421536	0.178948	0.149919	0.490731	0.288864	0.245733	0.156389	0.676600	0.636428	0.160549	0.186381	0.197852	0.256399	0.343489	0.079125	0.417942	0.441424	0.214495	0.194254	0.441897	0.207076	0.187500	0.033053	0.780085	0.583174	0.168620	0.118824	0.793062	0.331086	0.093929	0.037573	0.572142	0.484052	0.184783	0.144527	0.431058	0.506353
20	0.223958	0.044263	0.560239	0.446098	0.157338	0.148007	0.484953	0.269234	0.216225	0.153476	0.639719	0.655050	0.175979	0.179974	0.176914	0.253442	0.332292	0.070790	0.426058	0.453766	0.219212	0.195817	0.402544	0.217883	0.182595	0.034591	0.760229	0.479129	0.166308	0.054343	0.782135	0.331585	0.089632	0.035989	0.589170	0.479677	0.215991	0.202173	0.508447	0.526382
21	0.225548	0.040472	0.569134	0.456019	0.160003	0.139056	0.482202	0.270653	0.201307	0.098217	0.614616	0.655251	0.173616	0.174891	0.175512	0.255915	0.323481	0.069517	0.445491	0.442665	0.221476	0.196167	0.398320	0.229868	0.167535	0.036811	0.726045	0.408571	0.166403	0.029976	0.754653	0.318403	0.088758	0.033786	0.588897	0.479180	0.255653	0.262579	0.551465	0.528436
22	0.224294	0.040633	0.554793	0.454667	0.179806	0.142576	0.481031	0.267292	0.206322	0.094918	0.612540	0.609730	0.242622	0.330452	0.178312	0.226792	0.289117	0.069573	0.457239	0.437258	0.218560	0.188021	0.396692	0.226057	0.157495	0.034545	0.679903	0.403254	0.167392	0.019880	0.715630	0.301612	0.088255	0.033354	0.573608	0.456467	0.236993	0.275623	0.563584	0.512201
23	0.203429	0.040217	0.519351	0.439325	0.179935	0.147822	0.488240	0.243544	0.208742	0.095450	0.598793	0.527287	0.266378	0.361562	0.179671	0.187783	0.254881	0.067264	0.467783	0.429241	0.233972	0.247599	0.390953	0.226127	0.151466	0.032236	0.641342	0.396276	0.166327	0.018188	0.685917	0.293395	0.090036	0.033474	0.555448	0.435237	0.256449	0.307554	0.562884	0.502257
24	0.188335	0.041219	0.483822	0.436031	0.198041	0.196446	0.437032	0.225887	0.253083	0.164338	0.500484	0.434125	0.373010	0.461017	0.176244	0.183364	0.187281	0.054940	0.440805	0.388522	0.246339	0.316191	0.383581	0.216748	0.150936	0.032013	0.635817	0.343438	0.160463	0.018101	0.681051	0.292469	0.085839	0.032965	0.543200	0.421396	0.255317	0.305198	0.550525	0.489045
25	0.182711	0.042086	0.475911	0.435562	0.179156	0.222529	0.279035	0.208525	0.254899	0.216917	0.339417	0.397690	0.383246	0.485471	0.169205	0.211983	0.165065	0.045344	0.413897	0.356041	0.237799	0.342650	0.357710	0.218284	0.134249	0.032137	0.521786	0.208835	0.154523	0.017968	0.666357	0.270991	0.079507	0.031448	0.535580	0.380778	0.256704	0.312304	0.528257	0.499837
26	0.179565	0.042976	0.479457	0.436785	0.158653	0.219604	0.220046	0.198055	0.257714	0.237141	0.260594	0.400634	0.384230	0.487986	0.184231	0.266028	0.164560	0.041975	0.385267	0.355379	0.270788	0.376052	0.316038	0.208669	0.148977	0.036803	0.330999	0.264759	0.135916	0.017796	0.586064	0.236398	0.065802	0.024292	0.533286	0.362555	0.260800	0.313702	0.503153	0.564700
