	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_01.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_03.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_05.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_06.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_09.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d	145_P_T1_sh_L_D_A_10.c3d
30	0.194965	0.486782	0.269377	0.157966	0.562385	0.352122	0.171662	0.129507	0.326789	0.377705	0.194211	0.192315	0.246107	0.771171	0.120377	0.101300	0.151656	0.163344	0.449767	0.210982	0.220981	0.524991	0.121327	0.260787	0.204648	0.243764	0.174995	0.190243	0.389212	0.413141	0.155720	0.197890	0.220311	0.262636	0.232011	0.181532	0.141432	0.250559	0.126218	0.105643	0.209088	0.119441	0.281037	0.364685	0.179589	0.055538	0.187918	0.104061
31	0.199118	0.395652	0.219632	0.157829	0.613912	0.337665	0.160717	0.129251	0.418913	0.340474	0.205156	0.202828	0.244990	0.771235	0.128571	0.103816	0.142997	0.099709	0.300190	0.210847	0.219000	0.520639	0.106826	0.256888	0.194149	0.224885	0.157941	0.209436	0.396557	0.399933	0.149458	0.169382	0.216459	0.248301	0.272615	0.171609	0.143574	0.251290	0.130145	0.104875	0.210993	0.116554	0.263156	0.307767	0.177677	0.054395	0.186135	0.093213
32	0.206149	0.354174	0.190617	0.156695	0.613399	0.330627	0.159480	0.127695	0.445416	0.303415	0.230943	0.192554	0.241538	0.769933	0.150683	0.104484	0.179322	0.078619	0.257098	0.237664	0.229012	0.518001	0.105394	0.252780	0.188507	0.220449	0.152050	0.210972	0.396519	0.400680	0.145282	0.122657	0.228909	0.238586	0.276242	0.161564	0.137280	0.242488	0.122055	0.102740	0.208702	0.115049	0.195356	0.241765	0.176962	0.055592	0.193044	0.114188
33	0.182478	0.270887	0.200357	0.154696	0.645110	0.341895	0.162738	0.126701	0.450051	0.267588	0.248677	0.218139	0.244455	0.708927	0.152072	0.111549	0.229198	0.082263	0.251739	0.236239	0.232699	0.509108	0.110477	0.252466	0.145790	0.207152	0.155751	0.204794	0.390501	0.390917	0.129683	0.143121	0.237934	0.236667	0.274530	0.154722	0.112563	0.225230	0.123493	0.098205	0.179582	0.094595	0.190606	0.251991	0.182015	0.057389	0.201395	0.178866
34	0.185204	0.145702	0.176787	0.153461	0.703036	0.348078	0.164173	0.118705	0.442620	0.228748	0.248391	0.250963	0.218961	0.548462	0.155537	0.106825	0.222957	0.089335	0.223999	0.199837	0.231000	0.506822	0.115271	0.251171	0.107513	0.090784	0.151237	0.270714	0.381244	0.347150	0.122729	0.156815	0.241360	0.205160	0.280727	0.157759	0.090668	0.219723	0.122293	0.098127	0.152473	0.072510	0.177832	0.354928	0.200584	0.089260	0.200880	0.245165
35	0.212112	0.120027	0.175214	0.152857	0.749681	0.348627	0.175453	0.102230	0.436300	0.166120	0.234628	0.260167	0.202423	0.510218	0.155729	0.106045	0.287021	0.294241	0.160544	0.191940	0.226559	0.506842	0.119663	0.243365	0.103592	0.071218	0.121985	0.266079	0.371165	0.284887	0.122745	0.157979	0.245240	0.173794	0.292216	0.167537	0.082538	0.218833	0.112293	0.101360	0.157433	0.077768	0.181173	0.456436	0.214699	0.098125	0.192264	0.250920
36	0.212373	0.121974	0.134642	0.392586	0.782117	0.338512	0.183944	0.095543	0.431737	0.164944	0.242596	0.259969	0.203214	0.433971	0.154966	0.104097	0.419953	0.438084	0.148338	0.201252	0.223041	0.506042	0.125149	0.224449	0.091752	0.081421	0.110105	0.261791	0.369808	0.266182	0.123154	0.166759	0.250400	0.146459	0.333578	0.174688	0.085306	0.213652	0.103130	0.117501	0.162105	0.083951	0.188611	0.461747	0.217253	0.098895	0.178332	0.250926
37	0.211516	0.133073	0.130938	0.429475	0.816775	0.333874	0.183897	0.096442	0.425549	0.163842	0.247559	0.255109	0.163598	0.195872	0.150299	0.100892	0.486502	0.475893	0.169696	0.230792	0.222136	0.504971	0.126079	0.202697	0.090358	0.086851	0.106342	0.269372	0.366368	0.264408	0.133551	0.173781	0.241692	0.137608	0.364579	0.184934	0.086779	0.210301	0.098004	0.141687	0.161180	0.110755	0.191315	0.497522	0.207919	0.099701	0.165247	0.251510
38	0.200004	0.134152	0.162798	0.499802	0.820659	0.332855	0.155898	0.091405	0.425041	0.159568	0.238279	0.247343	0.157214	0.084927	0.128072	0.099832	0.492806	0.503416	0.175257	0.249572	0.217594	0.485933	0.122109	0.185548	0.092435	0.085960	0.097723	0.270661	0.330283	0.235482	0.148786	0.174453	0.231204	0.126103	0.354969	0.195591	0.084282	0.154473	0.093716	0.196101	0.166411	0.197608	0.178304	0.550060	0.194514	0.099867	0.166002	0.254609
39	0.189914	0.133644	0.182661	0.512552	0.803069	0.305349	0.113578	0.092038	0.419519	0.153309	0.224599	0.239014	0.142980	0.063135	0.125738	0.097637	0.496617	0.518560	0.175133	0.258270	0.214801	0.478324	0.122316	0.183467	0.097411	0.088754	0.150496	0.262673	0.231737	0.176456	0.150072	0.172658	0.238503	0.116121	0.347588	0.194747	0.087582	0.127654	0.091813	0.207079	0.160434	0.199589	0.177195	0.575888	0.183439	0.106670	0.167991	0.261071
