	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_02.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_03.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_08.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_09.c3d	110_P_T2_sh_L_ND_A_10.c3d	110_P_T2_sh_L_ND_A_10.c3d	110_P_T2_sh_L_ND_A_10.c3d	110_P_T2_sh_L_ND_A_10.c3d	110_P_T2_sh_L_ND_A_10.c3d	110_P_T2_sh_L_ND_A_10.c3d	110_P_T2_sh_L_ND_A_10.c3d	110_P_T2_sh_L_ND_A_10.c3d
	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med	Biceps femoris_lat	Semitendinosus_lat	Vastus lateralis_lat	Vastus medialis_lat	Biceps femoris_med	Semitendinosus_med	Vastus lateralis_med	Vastus medialis_med
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med	EMG_lat	EMG_lat	EMG_lat	EMG_lat	EMG_med	EMG_med	EMG_med	EMG_med
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
17	0.146873	0.194099	0.177028	0.104673	0.311062	0.235299	0.262935	0.922128	0.199021	0.219092	0.143292	0.175004	0.372219	0.479832	0.202463	0.380131	0.640161	0.701415	0.411307	0.554695	0.202275	0.300332	0.303239	0.565750	0.543520	0.491704	0.258220	0.218835	0.103194	0.079246	0.157414	0.223794	0.411601	0.410518	0.288436	0.341570	0.159900	0.189129	0.230472	0.340310
18	0.174154	0.208817	0.171994	0.102291	0.314827	0.210086	0.267227	0.921939	0.171948	0.194989	0.185283	0.176447	0.364828	0.420876	0.222627	0.371987	0.614813	0.717128	0.401701	0.558334	0.197856	0.298402	0.304928	0.568021	0.550762	0.510584	0.258081	0.217135	0.093202	0.072114	0.148216	0.238845	0.319024	0.303854	0.291326	0.213707	0.161771	0.189678	0.236423	0.321226
19	0.184931	0.235572	0.151602	0.099145	0.315249	0.203342	0.266786	0.918721	0.179222	0.192630	0.229952	0.172982	0.304662	0.343549	0.222619	0.376340	0.615829	0.724179	0.388061	0.558113	0.195428	0.302332	0.284456	0.503202	0.530392	0.499776	0.262278	0.208844	0.094606	0.074334	0.118456	0.250130	0.213364	0.229369	0.281700	0.195929	0.174199	0.190102	0.249077	0.307199
20	0.177555	0.222234	0.120275	0.107103	0.313764	0.213902	0.283024	0.819922	0.182986	0.184594	0.233666	0.174622	0.307151	0.356165	0.214182	0.337989	0.604134	0.673199	0.384846	0.557205	0.201091	0.296399	0.220971	0.384633	0.479037	0.472446	0.263855	0.196169	0.106743	0.082016	0.105225	0.251578	0.181748	0.214639	0.223868	0.112166	0.178226	0.199108	0.229038	0.299900
21	0.171215	0.206034	0.118018	0.146624	0.293013	0.230030	0.295710	0.689577	0.186414	0.165593	0.267220	0.199639	0.299537	0.342757	0.187520	0.292648	0.555968	0.566731	0.357451	0.556002	0.210539	0.263949	0.197200	0.360874	0.468058	0.472645	0.264842	0.193951	0.123597	0.217290	0.115256	0.238745	0.174908	0.204303	0.195183	0.172622	0.187209	0.222271	0.193786	0.292879
22	0.169331	0.198817	0.133137	0.183310	0.272400	0.261465	0.300216	0.681277	0.175506	0.145672	0.300841	0.181976	0.281399	0.330235	0.181714	0.292549	0.374962	0.378958	0.335791	0.477593	0.214900	0.252317	0.194177	0.223203	0.463173	0.401710	0.257339	0.193851	0.139369	0.289479	0.118834	0.210842	0.154608	0.149032	0.190225	0.173672	0.179806	0.222139	0.156709	0.256657
23	0.170598	0.190581	0.157055	0.195055	0.264731	0.263747	0.303471	0.650958	0.168041	0.145050	0.290086	0.380899	0.205443	0.290493	0.150058	0.240113	0.312850	0.356477	0.339761	0.254052	0.213238	0.251328	0.194030	0.137477	0.401155	0.336467	0.243382	0.197162	0.162058	0.330679	0.137134	0.194088	0.143126	0.109163	0.163904	0.172350	0.188856	0.249224	0.157780	0.195517
24	0.182157	0.182535	0.163972	0.225361	0.242735	0.262779	0.301067	0.636710	0.189012	0.180958	0.290146	0.446591	0.160949	0.289566	0.139208	0.222782	0.267823	0.354497	0.353771	0.205864	0.177855	0.219473	0.182440	0.160698	0.257520	0.269807	0.242858	0.195135	0.196196	0.402328	0.141883	0.196181	0.125462	0.083656	0.154045	0.175129	0.221806	0.282559	0.166632	0.208388
25	0.151487	0.145241	0.207277	0.288539	0.185610	0.252188	0.271527	0.572358	0.190570	0.183247	0.251985	0.458681	0.182830	0.294857	0.143428	0.206324	0.265770	0.336524	0.373335	0.202210	0.144441	0.177367	0.133938	0.173869	0.244092	0.270171	0.238910	0.193892	0.195354	0.402546	0.145023	0.215359	0.120168	0.072618	0.163013	0.186605	0.237611	0.334729	0.164162	0.208754
26	0.194129	0.113638	0.213730	0.319028	0.202744	0.256381	0.253537	0.557695	0.194668	0.194085	0.241685	0.493705	0.208150	0.325771	0.141958	0.184971	0.266529	0.333990	0.352215	0.198552	0.137655	0.179263	0.132810	0.189910	0.237496	0.271119	0.235225	0.185023	0.195274	0.402543	0.141564	0.207909	0.122002	0.091506	0.162052	0.187137	0.364917	0.410654	0.154334	0.188881
27	0.196660	0.128102	0.204826	0.344122	0.244377	0.272311	0.247740	0.428810	0.217726	0.243550	0.292018	0.571530	0.211446	0.374969	0.134780	0.176027	0.270452	0.332373	0.268759	0.187338	0.164681	0.209202	0.192242	0.202326	0.233897	0.276809	0.225422	0.147392	0.195362	0.416583	0.154454	0.215575	0.121997	0.104102	0.156180	0.186058	0.360725	0.406072	0.151613	0.179386
28	0.215742	0.132178	0.229370	0.339983	0.293274	0.338102	0.224859	0.221328	0.279786	0.289513	0.442564	0.576061	0.213783	0.381963	0.097987	0.188086	0.260394	0.300918	0.230857	0.169385	0.176303	0.216938	0.322826	0.206895	0.234778	0.284037	0.218767	0.112366	0.195596	0.421563	0.161361	0.192914	0.124199	0.105039	0.152028	0.253779	0.362118	0.405419	0.143468	0.185924
29	0.236078	0.135106	0.227882	0.367520	0.300235	0.383943	0.193998	0.173431	0.275655	0.282341	0.479563	0.566165	0.214323	0.377614	0.085270	0.171370	0.225928	0.225429	0.236739	0.136303	0.174405	0.209082	0.409939	0.219013	0.230610	0.285756	0.194610	0.118172	0.194395	0.432489	0.220369	0.187799	0.118418	0.103662	0.152018	0.297218	0.359936	0.408681	0.124800	0.199069
30	0.248462	0.143102	0.216960	0.372074	0.291842	0.384238	0.183382	0.162726	0.250769	0.264490	0.594487	0.508259	0.221691	0.392396	0.081777	0.171763	0.187327	0.150849	0.240172	0.131991	0.159391	0.187568	0.444502	0.233637	0.211632	0.289208	0.186885	0.121882	0.189956	0.445866	0.272760	0.193827	0.118283	0.099600	0.152023	0.286943	0.364100	0.425680	0.101988	0.197930
31	0.254582	0.153378	0.198984	0.363850	0.292555	0.381522	0.180160	0.155026	0.244892	0.278507	0.687515	0.487195	0.229583	0.422626	0.120006	0.180676	0.161778	0.124501	0.237267	0.140481	0.143997	0.185933	0.456509	0.245979	0.190730	0.270433	0.184234	0.126564	0.184130	0.417896	0.273240	0.259428	0.119654	0.098392	0.151218	0.289417	0.362326	0.418065	0.097598	0.197293
32	0.252457	0.150793	0.154363	0.329727	0.284672	0.363565	0.149843	0.133660	0.235134	0.277536	0.698268	0.563248	0.229857	0.439620	0.164573	0.219542	0.143355	0.135167	0.239003	0.171908	0.154085	0.193108	0.459964	0.262240	0.151223	0.241779	0.190771	0.129344	0.162607	0.355620	0.277734	0.264982	0.122361	0.098968	0.151342	0.311516	0.362731	0.415715	0.097785	0.197476
33	0.208280	0.134076	0.148930	0.314305	0.280202	0.352191	0.123576	0.108132	0.233693	0.258980	0.743760	0.663552	0.229505	0.440005	0.185525	0.238317	0.139149	0.156222	0.236517	0.186962	0.174258	0.235324	0.470351	0.273807	0.144195	0.240003	0.208276	0.130236	0.153531	0.338888	0.298280	0.264344	0.117070	0.087244	0.186976	0.310646	0.362181	0.403788	0.093221	0.192590
34	0.207015	0.112837	0.188495	0.289844	0.278759	0.332559	0.112365	0.090471	0.185791	0.226949	0.703876	0.684906	0.231075	0.405993	0.195679	0.247881	0.139094	0.187742	0.242781	0.187774	0.208583	0.275053	0.483637	0.294392	0.140898	0.231336	0.212173	0.145683	0.087059	0.234501	0.304085	0.293622	0.123686	0.083923	0.221896	0.320914	0.330285	0.364408	0.083832	0.167188
35	0.201922	0.119197	0.183659	0.286547	0.279884	0.331444	0.106527	0.084189	0.143297	0.215798	0.605561	0.660407	0.215685	0.397983	0.204885	0.249653	0.138186	0.195895	0.240644	0.203954	0.237368	0.308960	0.518409	0.307433	0.093158	0.246797	0.212799	0.244795	0.089072	0.245878	0.301675	0.305348	0.154485	0.094939	0.274994	0.326626	0.326522	0.367275	0.083131	0.167699
36	0.241522	0.218495	0.196941	0.225942	0.285544	0.329711	0.123358	0.100073	0.144170	0.213875	0.582617	0.642592	0.184022	0.376639	0.201843	0.246305	0.146535	0.195548	0.205468	0.243273	0.237735	0.309755	0.533207	0.314529	0.134396	0.274372	0.213193	0.442211	0.088743	0.252080	0.300413	0.305893	0.197103	0.111579	0.336740	0.349250	0.169398	0.262465	0.084520	0.221319
37	0.229250	0.222961	0.226614	0.218425	0.279022	0.330825	0.143718	0.138358	0.178545	0.186613	0.418125	0.626501	0.182227	0.340093	0.208679	0.239203	0.157149	0.194082	0.175625	0.271218	0.221418	0.291292	0.506542	0.298657	0.175207	0.314037	0.219732	0.545466	0.088835	0.239467	0.296062	0.299465	0.218240	0.143154	0.346258	0.400094	0.150366	0.303698	0.083111	0.237677
38	0.205166	0.212226	0.234698	0.208527	0.266428	0.337082	0.144071	0.146018	0.261444	0.190472	0.327103	0.643651	0.181372	0.323226	0.222356	0.224078	0.163492	0.193243	0.168938	0.287846	0.228029	0.289793	0.448600	0.294647	0.184786	0.328860	0.248782	0.550733	0.088158	0.231637	0.303634	0.301168	0.213169	0.150932	0.386702	0.411575	0.142081	0.312284	0.105944	0.262399
